code,space_complexity,time_complexity
"# Python3 program for range minimum 
# query using segment tree 
import sys;
from math import ceil,log2;
  
INT_MAX = sys.maxsize;
  
# A utility function to get 
# minimum of two numbers 
def minVal(x, y) :
    return x if (x < y) else y; 
  
# A utility function to get the 
# middle index from corner indexes. 
def getMid(s, e) :
    return s + (e - s) // 2; 
  
"""""" A recursive function to get the 
minimum value in a given range 
of array indexes. The following 
are parameters for this function. 
  
    st --> Pointer to segment tree 
    index --> Index of current node in the 
        segment tree. Initially 0 is 
        passed as root is always at index 0 
    ss & se --> Starting and ending indexes 
                of the segment represented 
                by current node, i.e., st[index] 
    qs & qe --> Starting and ending indexes of query range """"""
def RMQUtil( st, ss, se, qs, qe, index) :
  
    # If segment of this node is a part 
    # of given range, then return 
    # the min of the segment 
    if (qs <= ss and qe >= se) :
        return st[index]; 
  
    # If segment of this node 
    # is outside the given range 
    if (se < qs or ss > qe) :
        return INT_MAX; 
  
    # If a part of this segment 
    # overlaps with the given range 
    mid = getMid(ss, se); 
    return minVal(RMQUtil(st, ss, mid, qs, 
                          qe, 2 * index + 1), 
                  RMQUtil(st, mid + 1, se,
                          qs, qe, 2 * index + 2)); 
  
# Return minimum of elements in range 
# from index qs (query start) to 
# qe (query end). It mainly uses RMQUtil() 
def RMQ( st, n, qs, qe) : 
  
    # Check for erroneous input values 
    if (qs < 0 or qe > n - 1 or qs > qe) :
      
        print(""Invalid Input""); 
        return -1; 
      
    return RMQUtil(st, 0, n - 1, qs, qe, 0); 
  
# A recursive function that constructs 
# Segment Tree for array[ss..se]. 
# si is index of current node in segment tree st 
def constructSTUtil(arr, ss, se, st, si) :
  
    # If there is one element in array, 
    # store it in current node of 
    # segment tree and return 
    if (ss == se) :
  
        st[si] = arr[ss]; 
        return arr[ss]; 
  
    # If there are more than one elements, 
    # then recur for left and right subtrees 
    # and store the minimum of two values in this node 
    mid = getMid(ss, se); 
    st[si] = minVal(constructSTUtil(arr, ss, mid,
                                    st, si * 2 + 1),
                    constructSTUtil(arr, mid + 1, se,
                                    st, si * 2 + 2)); 
      
    return st[si]; 
  
""""""Function to construct segment tree 
from given array. This function allocates 
memory for segment tree and calls constructSTUtil()
to fill the allocated memory """"""
def constructST( arr, n) :
  
    # Allocate memory for segment tree 
  
    # Height of segment tree 
    x = (int)(ceil(log2(n))); 
  
    # Maximum size of segment tree 
    max_size = 2 * (int)(2**x) - 1; 
   
    st = [0] * (max_size); 
  
    # Fill the allocated memory st 
    constructSTUtil(arr, 0, n - 1, st, 0); 
  
    # Return the constructed segment tree 
    return st; 
  
# Driver Code
if __name__ == ""__main__"" : 
  
    arr = [1, 3, 2, 7, 9, 11]; 
    n = len(arr); 
  
    # Build segment tree from given array 
    st = constructST(arr, n); 
  
    qs = 1; # Starting index of query range 
    qe = 5; # Ending index of query range 
  
    # Print minimum value in arr[qs..qe] 
    print(""Minimum of values in range ["", qs, 
          "","", qe, ""]"", ""is ="", RMQ(st, n, qs, qe)); 
  
# This code is contributed by AnkitRai01 ",linear,linear
"# LCM of given range queries using Segment Tree
MAX = 1000
 
# allocate space for tree
tree = [0] * (4 * MAX)
 
# declaring the array globally
arr = [0] * MAX
 
# Function to return gcd of a and b
 
 
def gcd(a: int, b: int):
    if a == 0:
        return b
    return gcd(b % a, a)
 
# utility function to find lcm
 
 
def lcm(a: int, b: int):
    return (a * b) // gcd(a, b)
 
# Function to build the segment tree
# Node starts beginning index of current subtree.
# start and end are indexes in arr[] which is global
 
 
def build(node: int, start: int, end: int):
 
    # If there is only one element
    # in current subarray
    if start == end:
        tree[node] = arr[start]
        return
 
    mid = (start + end) // 2
 
    # build left and right segments
    build(2 * node, start, mid)
    build(2 * node + 1, mid + 1, end)
 
    # build the parent
    left_lcm = tree[2 * node]
    right_lcm = tree[2 * node + 1]
 
    tree[node] = lcm(left_lcm, right_lcm)
 
# Function to make queries for array range )l, r).
# Node is index of root of current segment in segment
# tree (Note that indexes in segment tree begin with 1
# for simplicity).
# start and end are indexes of subarray covered by root
# of current segment.
 
 
def query(node: int, start: int,
          end: int, l: int, r: int):
 
    # Completely outside the segment,
    # returning 1 will not affect the lcm;
    if end < l or start > r:
        return 1
 
    # completely inside the segment
    if l <= start and r >= end:
        return tree[node]
 
    # partially inside
    mid = (start + end) // 2
    left_lcm = query(2 * node, start, mid, l, r)
    right_lcm = query(2 * node + 1,
                      mid + 1, end, l, r)
    return lcm(left_lcm, right_lcm)
 
 
# Driver Code
if __name__ == ""__main__"":
 
    # initialize the array
    arr[0] = 5
    arr[1] = 7
    arr[2] = 5
    arr[3] = 2
    arr[4] = 10
    arr[5] = 12
    arr[6] = 11
    arr[7] = 17
    arr[8] = 14
    arr[9] = 1
    arr[10] = 44
 
    # build the segment tree
    build(1, 0, 10)
 
    # Now we can answer each query efficiently
 
    # Print LCM of (2, 5)
    print(query(1, 0, 10, 2, 5))
 
    # Print LCM of (5, 10)
    print(query(1, 0, 10, 5, 10))
 
    # Print LCM of (0, 10)
    print(query(1, 0, 10, 0, 10))
 
# This code is contributed by
# sanjeev2552",constant,linear
"# Python3 program to find LCA of u and v by
# reducing the problem to RMQ
from math import log2, floor
from typing import List
 
class Node:
     
    def __init__(self, val: int):
         
        self.val, self.left, self.right = val, None, None
 
class BinaryTree:
     
    def __init__(self, root: Node):
         
        self.root = root
        self.val_max = self._get_max_val()
        self.euler = [0] * (2 * self.val_max - 1)
        self.level = [0] * (2 * self.val_max - 1)
        self.f_occur = [-1] * (self.val_max + 1)
        self.fill = 0
        self.segment_tree = []
 
    def _get_max_val(self):
         
        stack = [self.root]
        max_val = -1
         
        while stack:
            x = stack.pop()
            if x.val > max_val:
                max_val = x.val
            if x.left:
                stack.append(x.left)
            if x.right:
                stack.append(x.right)
                 
        return max_val
    ''' A recursive function to get the minimum value in a given range
     of array indexes. The following are parameters for this function.
      
    st    --> Pointer to segment tree
    index --> Index of current node in the segment tree. Initially
              0 is passed as root is always at index 0
    ss & se  --> Starting and ending indexes of the segment represented
                  by current node, i.e., st[index]
    qs & qe  --> Starting and ending indexes of query range '''
    def rmq_util(self, index, ss, se, qs, qe) -> int:
         
        # If segment of this node is part of given range
        # then return the min of the segment
        if qs <= ss and qe >= se:
            return self.segment_tree[index]
 
        # If segment of this node is outside
        # the given range
        elif se < qs or ss > qe:
            return -1
 
        # If part of this segment overlaps with
        # given range
        mid = (ss + se) // 2
         
        q1 = self.rmq_util(2 * index + 1,
                           ss, mid, qs, qe)
        q2 = self.rmq_util(2 * index + 2, mid + 1,
                           se, qs, qe)
                            
        if q1 == -1:
            return q2
        if q2 == -1:
            return q1
        return (q1 if self.level[q1] <
                      self.level[q2] else q2)
                       
    # Return minimum of elements in range from
    # index qs (query start) to  qe (query end). 
    # It mainly uses rmq_util()
    def rmq(self, n: int, qs: int, qe: int) -> int:
         
        if qs < 0 or qe > n - 1 or qs > qe:
            print('invalid input')
            return -1
             
        return self.rmq_util(0, 0, n - 1, qs, qe)
         
    # A recursive function that constructs Segment
    # Tree for array[ss..se]. si is index of
    # current node in segment tree st
    def construct_segment_tree_util(self, si, ss,
                                    se, arr):
 
        # If  there is one element in array,
        # store it in current node of segment tree
        # and return
        if ss == se:
            self.segment_tree[si] = ss
        else:
 
            # If there are more than one elements,
            # then recur for left and right subtrees and
            # store the min of two values in this node
            mid = (ss + se) // 2
            index_left, index_right = si * 2 + 1, si * 2 + 2
            self.construct_segment_tree_util(
                index_left, ss, mid, arr)
            self.construct_segment_tree_util(
                index_right, mid+1, se, arr)
            
            if (arr[self.segment_tree[index_left]] <
                arr[self.segment_tree[index_right]]):
                self.segment_tree[si] = self.segment_tree[index_left]
            else:
                self.segment_tree[si] = self.segment_tree[index_right]
     
    # Function to construct segment tree from given
    # array. This function allocates memory for segment
    # tree and calls construct_segment_tree_util()
    # to fill the allocated memory
    def construct_segment_tree(self, arr: List, n: int):
         
        # Height of segment tree
        x = floor(log2(n) + 1)
         
        # Maximum size of segment tree
        max_size = 2 * (1 << x) - 1      # 2*pow(2,x) -1
         
        self.segment_tree = [0] * max_size
         
        # Fill the allocated memory st
        self.construct_segment_tree_util(
            0, 0, n - 1, arr)
     
    # Recursive version of the Euler tour of T
    def euler_tour(self, node: Node, lev: int):
         
        # If the passed node exists
        if node is not None:
            self.euler[self.fill] = node.val
            self.level[self.fill] = lev
            self.fill += 1
             
            # If unvisited, mark first occurrence
            if self.f_occur[node.val] == -1:
                self.f_occur[node.val] = self.fill - 1
 
            # Tour left subtree if exists and remark
            # euler and level arrays for parent on
            # return
            if node.left is not None:
                self.euler_tour(node.left, lev + 1)
                self.euler[self.fill] = node.val
                self.level[self.fill] = lev
                self.fill += 1
 
            # Tour right subtree if exists and
            # remark euler and level arrays for
            # parent on return
            if node.right is not None:
                self.euler_tour(node.right, lev + 1)
                self.euler[self.fill] = node.val
                self.level[self.fill] = lev
                self.fill += 1
     
    # Returns LCA of nodes n1, n2 (assuming they are
    # present in the tree)
    def find_lca(self, u: int, v: int):
         
        # Start euler tour with root node on level 0
        self.euler_tour(self.root, 0)
         
        # Construct segment tree on level array
        self.construct_segment_tree(self.level,
                                2 * self.val_max - 1)
                                 
        # For rmq to work, u must be smaller than v
        if self.f_occur[u] > self.f_occur[v]:
            u, v = v, u
             
        # Start and end of query range
        qs = self.f_occur[u]
        qe = self.f_occur[v]
         
        # Query for index of lca in tour
        index = self.rmq(2 * self.val_max - 1, qs, qe)
         
        # Return lca node
        return self.euler[index]
 
# Driver code
if __name__ == ""__main__"":
     
    root = Node(1)
    root.left = Node(2)
    root.right = Node(3)
    root.left.left = Node(4)
    root.left.right = Node(5)
    root.right.left = Node(6)
    root.right.right = Node(7)
    root.left.right.left = Node(8)
    root.left.right.right = Node(9)
 
    tree = BinaryTree(root)
    u, v = 4, 9
    print('The lca of node {} and {} is node {}'.format(
        u, v, tree.find_lca(u, v)))
 
# This code is contributed by Rajat Srivastava",linear,linear
"# Python3 program for range minimum  
# query using segment tree
  
# modified to return index of minimum instead of minimum itself
# for further reference link
# https://www.geeksforgeeks.org/segment-tree-set-1-range-minimum-query/
  
#-------------------------------------------------------------------------
from math import ceil,log2;  
    
# A utility function to get  
# minimum of two numbers  
def minVal(hist,x, y) :
    if x==-1:
        return y
    if y==-1:
        return x
    return x if (hist[x] < hist[y]) else y;  
    
# A utility function to get the  
# middle index from corner indexes.  
def getMid(s, e) : 
    return s + (e - s) // 2;  
    
"""""" A recursive function to get the  
minimum value in a given range  
of array indexes. The following  
are parameters for this function.  
    
    st --> Pointer to segment tree  
    index --> Index of current node in the  
        segment tree. Initially 0 is  
        passed as root is always at index 0  
    ss & se --> Starting and ending indexes  
                of the segment represented  
                by current node, i.e., st[index]  
    qs & qe --> Starting and ending indexes of query range """"""
def RMQUtil( hist,st, ss, se, qs, qe, index) : 
    
    # If segment of this node is a part  
    # of given range, then return  
    # the min of the segment  
    if (qs <= ss and qe >= se) : 
        return st[index];  
    
    # If segment of this node  
    # is outside the given range  
    if (se < qs or ss > qe) : 
        return -1;  
    
    # If a part of this segment  
    # overlaps with the given range  
    mid = getMid(ss, se);  
    return minVal(hist,RMQUtil(hist,st, ss, mid, qs,  
                          qe, 2 * index + 1),  
                  RMQUtil(hist,st, mid + 1, se, 
                          qs, qe, 2 * index + 2));  
    
# Return minimum of elements in range  
# from index qs (query start) to  
# qe (query end). It mainly uses RMQUtil()  
def RMQ( hist,st, n, qs, qe) :  
    
    # Check for erroneous input values  
    if (qs < 0 or qe > n - 1 or qs > qe) : 
        
        print(""Invalid Input"");  
        return -1;  
        
    return RMQUtil(hist,st, 0, n - 1, qs, qe, 0);  
    
# A recursive function that constructs  
# Segment Tree for array[ss..se].  
# si is index of current node in segment tree st  
def constructSTUtil(hist, ss, se, st, si) : 
    
    # If there is one element in array,  
    # store it in current node of  
    # segment tree and return  
    if (ss == se) : 
    
        st[si] = ss;  
        return st[si];  
    
    # If there are more than one elements,  
    # then recur for left and right subtrees  
    # and store the minimum of two values in this node  
    mid = getMid(ss, se);  
    st[si] = minVal(hist,constructSTUtil(hist, ss, mid, 
                                    st, si * 2 + 1), 
                    constructSTUtil(hist, mid + 1, se, 
                                    st, si * 2 + 2));  
        
    return st[si];  
    
""""""Function to construct segment tree  
from given array. This function allocates  
memory for segment tree and calls constructSTUtil() 
to fill the allocated memory """"""
def constructST( hist, n) : 
    
    # Allocate memory for segment tree  
    
    # Height of segment tree  
    x = (int)(ceil(log2(n)));  
    
    # Maximum size of segment tree  
    max_size = 2 * (int)(2**x) - 1;  
     
    st = [0] * (max_size);  
    
    # Fill the allocated memory st  
    constructSTUtil(hist, 0, n - 1, st, 0);  
    
    # Return the constructed segment tree  
    return st;  
    
  
#----------------------------------------------------------------
  
# main program
# Python3 program using Divide and Conquer
# to find maximum rectangular area under a histogram
  
  
def max_area_histogram(hist):
    area=0
    #initialize area
      
    st = constructST(hist, len(hist))
    # construct the segment tree
      
    try:
        # try except block is generally used in this way
        # to suppress all type of exceptions raised.
          
        def fun(left,right):
              
        # this function ""fun"" calculates area
        # recursively between indices left and right
              
            nonlocal area
              
            # global area won't work here as
            # variable area is defined inside function
            # not in main().
               
            if left==right:
                return
            # the recursion has reached end
               
              
            index = RMQ(hist,st, len(hist), left, right-1)
            # RMQ function returns index 
            # of minimum value
            # in the range of [left,right-1]
            # can also be found by using min() but
            # results in O(n) instead of O(log n) for traversing
              
            area=max(area,hist[index]*(right-left))
            # calculate area with minimum above
              
            fun(index+1,right)
            fun(left,index)
            # initiate further recursion
               
            return
                   
        fun(0,len(hist))
        # initializes the recursion
          
        return(area)
        # return the max area to calling function
        # in this case ""print""
           
    except:
        pass
      
# Driver Code 
hist = [6, 2, 5, 4, 5, 1, 6] 
print(""Maximum area is"",  
       max_area_histogram(hist)) 
    
# This code is contributed  
# by Vishnudev C.",linear,nlogn
"# Python3 program to construct an n x n
# matrix such that every row and every
# column has distinct values.
 
MAX = 100;
mat = [[0 for x in range(MAX)] for y in range(MAX)];
 
# Fills non-one entries in column j
# Given that there is a ""1"" at
# position mat[i][j], this function
# fills other entries of column j.
def fillRemaining(i, j, n):
 
    # Initialize value to be filled
    x = 2;
 
    # Fill all values below i as 2, 3, ...p
    for k in range(i + 1,n):
        mat[k][j] = x;
        x+=1;
 
    # Fill all values above i
    # as p + 1, p + 2, .. n
    for k in range(i):
        mat[k][j] = x;
        x+=1;
 
# Fills entries in mat[][]
# with the given set of rules
def constructMatrix(n):
 
    # Alternatively fill 1s starting from
    # rightmost and leftmost columns. For
    # example for n = 3, we get { {_ _ 1},
    # {1 _ _} {_ 1 _}}
    right = n - 1;
    left = 0;
    for i in range(n):
        # If i is even, then fill
        # next column from right
        if (i % 2 == 0):
            mat[i][right] = 1;
 
            # After filling 1, fill remaining
            # entries of column ""right""
            fillRemaining(i, right, n);
 
            # Move right one column back
            right-=1;
         
        # Fill next column from left
        else:
            mat[i][left] = 1;
 
            # After filling 1, fill remaining
            # entries of column ""left""
            fillRemaining(i, left, n);
 
            # Move left one column forward
            left+=1;
 
# Driver code
n = 5;
 
# Passing n to constructMatrix function
constructMatrix(n);
 
# Printing the desired unique matrix
for i in range(n):
    for j in range(n):
        print(mat[i][j],end="" "");
    print("""");
     
# This code is contributed by mits",constant,quadratic
"# Given a binary matrix of M X N of
# integers, you need to return only
# unique rows of binary array
ROW = 4
COL = 5
 
# The main function that prints
# all unique rows in a given matrix.
def findUniqueRows(M):
     
    # Traverse through the matrix
    for i in range(ROW):
        flag = 0
 
        # Check if there is similar column
        # is already printed, i.e if i and
        # jth column match.
        for j in range(i):
            flag = 1
 
            for k in range(COL):
                if (M[i][k] != M[j][k]):
                    flag = 0
 
            if (flag == 1):
                break
 
        # If no row is similar
        if (flag == 0):
             
            # Print the row
            for j in range(COL):
                print(M[i][j], end = "" "")
                 
            print()   
 
# Driver Code
if __name__ == '__main__':
     
    M = [ [ 0, 1, 0, 0, 1 ],
          [ 1, 0, 1, 1, 0 ],
          [ 0, 1, 0, 0, 1 ],
          [ 1, 0, 1, 0, 0 ] ]
 
    findUniqueRows(M)
 
# This code is contributed by mohit kumar 29",constant,cubic
"# Given a binary matrix of M X N of integers,
# you need to return only unique rows of binary array
ROW = 4
COL = 5
 
# print the column represented as integers
def Print(p):
 
    for i in range(COL):
        print(p % 2 ,end = "" "")
        p = int(p//2)
    print("""")
 
class BST:
 
    def __init__(self,data):
        self.data = data
        self.left = None
        self.right = None
 
    # Insert function definition.
    def Insert(self,root, value):
 
        if(not root):
            # Insert the first node, if root is NULL.
            return BST(value)
         
        #if the value is present
        if(value == root.data):
            return root
     
        # Insert data.
        if(value > root.data):
            # Insert right node data, if the 'value'
            # to be inserted is greater than 'root' node data.
             
            # Process right nodes.
            root.right = self.Insert(root.right, value)
        else:
            # Insert left node data, if the 'value'
            # to be inserted is greater than 'root' node data.
             
            # Process left nodes.
            root.left = self.Insert(root.left, value)
         
        # Return 'root' node, after insertion.
        return root
 
    # Inorder traversal function.
    # This gives data in sorted order.
    def Inorder(self,root):
        if(not root):
            return
        self.Inorder(root.left);
        Print( root.data );
        self.Inorder(root.right)
 
# convert array to decimal
def convert(arr):
    sum=0
     
    for i in range(COL):
        sum+=pow(2,i)*arr[i]
    return sum
 
 
# The main function that prints
# all unique rows in a given matrix.
def findUniqueRows(M):
     
    b,root =BST(0),None
     
    #Traverse through the matrix
    for i in range(ROW):
        #insert the row into BST
        root = b.Insert(root,convert(M[i]))
     
    #print
    b.Inorder(root)
 
# Driver Code
M = [[0, 1, 0, 0, 1],
     [1, 0, 1, 1, 0],
     [0, 1, 0, 0, 1],
     [1, 0, 1, 0, 0]]
 
findUniqueRows(M)
 
# This code is contributed by shinjanpatra",linear,quadratic
"//Given a binary matrix of M X N of integers, you need to return only unique rows of binary array
#include <stdio.h>
#include <stdlib.h>
#include <stdbool.h>
 
#define ROW 4
#define COL 5
 
// A Trie node
typedef struct Node
{
    bool isEndOfCol;
    struct Node *child[2]; // Only two children needed for 0 and 1
} Node;
 
 
// A utility function to allocate memory for a new Trie node
Node* newNode()
{
    Node* temp = (Node *)malloc( sizeof( Node ) );
    temp->isEndOfCol = 0;
    temp->child[0] = temp->child[1] = NULL;
    return temp;
}
 
// Inserts a new matrix row to Trie.  If row is already
// present, then returns 0, otherwise insets the row and
// return 1
bool insert( Node** root, int (*M)[COL], int row, int col )
{
    // base case
    if ( *root == NULL )
        *root = newNode();
 
    // Recur if there are more entries in this row
    if ( col < COL )
        return insert ( &( (*root)->child[ M[row][col] ] ), M, row, col+1 );
 
    else // If all entries of this row are processed
    {
        // unique row found, return 1
        if ( !( (*root)->isEndOfCol ) )
            return (*root)->isEndOfCol = 1;
 
        // duplicate row found, return 0
        return 0;
    }
}
 
// A utility function to print a row
void printRow( int (*M)[COL], int row )
{
    int i;
    for( i = 0; i < COL; ++i )
        printf( ""%d "", M[row][i] );
    printf(""\n"");
}
 
// The main function that prints all unique rows in a
// given matrix.
void findUniqueRows( int (*M)[COL] )
{
    Node* root = NULL; // create an empty Trie
    int i;
 
    // Iterate through all rows
    for ( i = 0; i < ROW; ++i )
        // insert row to TRIE
        if ( insert(&root, M, i, 0) )
            // unique row found, print it
            printRow( M, i );
}
 
// Driver program to test above functions
int main()
{
    int M[ROW][COL] = {{0, 1, 0, 0, 1},
        {1, 0, 1, 1, 0},
        {0, 1, 0, 0, 1},
        {1, 0, 1, 0, 0}
    };
 
    findUniqueRows( M );
 
    return 0;
}",quadratic,quadratic
"# Python3 code to print unique row in a
# given binary matrix
 
def printArray(matrix):
 
    rowCount = len(matrix)
    if rowCount == 0:
        return
 
    columnCount = len(matrix[0])
    if columnCount == 0:
        return
 
    row_output_format = "" "".join([""%s""] * columnCount)
 
    printed = {}
 
    for row in matrix:
        routput = row_output_format % tuple(row)
        if routput not in printed:
            printed[routput] = True
            print(routput)
 
# Driver Code
mat = [[0, 1, 0, 0, 1],
       [1, 0, 1, 1, 0],
       [0, 1, 0, 0, 1],
       [1, 1, 1, 0, 0]]
 
printArray(mat)
 
# This code is contributed by myronwalker",linear,quadratic
"import sys   
 
# Function to find minimum XOR pair
def minXOR(arr, n):
     
    # Sort given array
    arr.sort()
  
    minXor =  int(sys.float_info.max)
    val = 0
  
    # calculate min xor of consecutive pairs
    for i in range(0,n-1):
        val = arr[i] ^ arr[i + 1];
        minXor = min(minXor, val);
     
    return minXor
 
# Driver program
arr = [9, 5, 3]
n = len(arr)
print(minXOR(arr, n))
  
# This code is contributed by Sam007.",constant,nlogn
